freq_hz,noise,sigma_n,opt sigma_n,mean_err_sindy_train,mean_err_gpsindy_train,mean_err_sindy_test,mean_err_gpsindy_test
50,0.02,0.2,1,36.61306987,39.78472024,21.09310928,17.53392586
5,0.01,0.001,0,37.8806706,38.26211002,35.71677512,53.71822803
5,0.01,0.001,1,37.8806706,NaN,35.71677512,NaN
5,0.01,0.002,0,37.8806706,38.26531612,35.71677512,36.37655524
5,0.01,0.002,1,37.8806706,NaN,35.71677512,NaN
5,0.01,0.003,0,37.8806706,38.20170083,35.71677512,46.09339357
5,0.01,0.003,1,37.8806706,NaN,35.71677512,NaN
5,0.01,0.01,0,37.8806706,39.05880887,35.71677512,24.50633703
5,0.01,0.01,1,37.8806706,42.86767629,35.71677512,32.51743249
5,0.01,0.02,0,37.8806706,38.94063764,35.71677512,29.18217491
5,0.01,0.02,1,37.8806706,47.83358497,35.71677512,67.2640529
5,0.01,0.03,0,37.8806706,41.03037863,35.71677512,26.58650571
5,0.01,0.03,1,37.8806706,51.16732263,35.71677512,28.69772607
5,0.01,0.1,0,37.8806706,42.57748682,35.71677512,31.16156324
5,0.01,0.1,1,37.8806706,43.34723356,35.71677512,27.63097532
5,0.01,0.2,0,37.8806706,44.22598281,35.71677512,30.05047596
5,0.01,0.2,1,37.8806706,41.35402775,35.71677512,26.60562066
5,0.01,0.3,0,37.8806706,42.37961053,35.71677512,29.31671866
5,0.01,0.3,1,37.8806706,41.15871375,35.71677512,27.32608244
5,0.02,0.001,0,36.58103424,37.4267991,20.52070147,20.52329721
5,0.02,0.001,1,36.58103424,NaN,20.52070147,NaN
5,0.02,0.002,0,36.58103424,37.4266721,20.52070147,20.52356766
5,0.02,0.002,1,36.58103424,NaN,20.52070147,NaN
5,0.02,0.003,0,36.58103424,37.4304144,20.52070147,20.52429407
5,0.02,0.003,1,36.58103424,NaN,20.52070147,NaN
5,0.02,0.01,0,36.58103424,38.62748915,20.52070147,24.23303379
5,0.02,0.01,1,36.58103424,NaN,20.52070147,NaN
5,0.02,0.02,0,36.58103424,39.53533324,20.52070147,32.69175034
5,0.02,0.02,1,36.58103424,45.70907363,20.52070147,28.36938579
5,0.02,0.03,0,36.58103424,41.18779755,20.52070147,25.57955404
5,0.02,0.03,1,36.58103424,49.68557931,20.52070147,33.31892216
5,0.02,0.1,0,36.58103424,42.24121398,20.52070147,28.36982488
5,0.02,0.1,1,36.58103424,41.43407551,20.52070147,35.05788973
5,0.02,0.2,0,36.58103424,44.77151631,20.52070147,29.49185514
5,0.02,0.2,1,36.58103424,40.18732958,20.52070147,28.56028671
5,0.02,0.3,0,36.58103424,40.38702028,20.52070147,28.43362915
5,0.02,0.3,1,36.58103424,41.16705972,20.52070147,27.57206448
5,0,0.001,0,39.64112197,39.58921113,23.06461901,23.0648254
5,0,0.001,1,39.64112197,NaN,23.06461901,NaN
5,0,0.002,0,39.64112197,39.60888485,23.06461901,23.1703352
5,0,0.002,1,39.64112197,NaN,23.06461901,NaN
5,0,0.003,0,39.64112197,39.84156962,23.06461901,29.55895882
5,0,0.003,1,39.64112197,NaN,23.06461901,NaN
5,0,0.01,0,39.64112197,39.89533748,23.06461901,23.14970019
5,0,0.01,1,39.64112197,37.58313206,23.06461901,38.58504422
5,0,0.02,0,39.64112197,41.85608761,23.06461901,29.55484186
5,0,0.02,1,39.64112197,46.18570349,23.06461901,30.06847357
5,0,0.03,0,39.64112197,42.35473656,23.06461901,26.54714102
5,0,0.03,1,39.64112197,46.50923253,23.06461901,43.10135834
5,0,0.1,0,39.64112197,43.97022385,23.06461901,27.03852172
5,0,0.1,1,39.64112197,42.19182741,23.06461901,71.43556477
5,0,0.2,0,39.64112197,43.43910554,23.06461901,26.79506732
5,0,0.2,1,39.64112197,42.41573841,23.06461901,27.57398078
5,0,0.3,0,39.64112197,44.44254693,23.06461901,27.88775514
5,0,0.3,1,39.64112197,39.60373174,23.06461901,41.67153469
